search_timestamp,search_date,route,origin,destination,departure_date,days_before_departure,offer_count,priced_offer_count,nonstop_offer_count,min_price_usd,avg_price_usd,avg_nonstop_price_usd
2026-03-12 22:55:20,2026-03-12,CHI-JFK,CHI,JFK,2026-03-13,1,14,14,2,145.51,468.53,330.94
2026-03-12 22:55:20,2026-03-12,CHI-JFK,CHI,JFK,2026-05-12,61,6,6,2,85.31,113.07,85.31
2026-03-12 22:55:20,2026-03-12,CHI-JFK,CHI,JFK,2026-06-01,81,6,6,2,122.93,182.58,122.93
2026-03-12 22:55:20,2026-03-12,CHI-JFK,CHI,JFK,2026-06-10,90,6,6,2,122.93,176.67,122.93
2026-03-12 22:55:20,2026-03-12,CHI-ATL,CHI,ATL,2026-03-13,1,35,35,6,165.24,564.49,302.64
2026-03-12 22:55:20,2026-03-12,CHI-ATL,CHI,ATL,2026-05-12,61,22,22,1,106.81,394.39,106.81
2026-03-12 22:55:20,2026-03-12,CHI-ATL,CHI,ATL,2026-06-01,81,23,23,2,135.83,418.49,150.88
2026-03-12 22:55:20,2026-03-12,CHI-ATL,CHI,ATL,2026-06-10,90,26,26,2,135.83,538.8,135.83
2026-03-12 22:55:20,2026-03-12,MIA-JFK,MIA,JFK,2026-03-13,1,1,1,1,155.18,155.18,155.18
2026-03-12 22:55:20,2026-03-12,SEA-LAX,SEA,LAX,2026-03-13,1,83,83,26,165.24,495.18,303.65
2026-03-12 22:55:20,2026-03-12,SEA-LAX,SEA,LAX,2026-05-12,61,77,77,25,76.56,651.4,1130.6
2026-03-12 22:55:20,2026-03-12,SEA-LAX,SEA,LAX,2026-06-01,81,69,69,11,145.51,483.94,1292.05
2026-03-12 22:55:20,2026-03-12,SEA-LAX,SEA,LAX,2026-06-10,90,74,74,11,145.51,476.35,1673.96
2026-03-12 22:55:20,2026-03-12,BOS-JFK,BOS,JFK,2026-03-13,1,32,32,8,126.01,452.87,428.63
2026-03-12 22:55:20,2026-03-12,BOS-JFK,BOS,JFK,2026-05-12,61,41,41,6,72.41,571.22,266.44
2026-03-12 22:55:20,2026-03-12,BOS-JFK,BOS,JFK,2026-06-01,81,51,51,6,115.41,656.28,115.41
2026-03-12 22:55:20,2026-03-12,BOS-JFK,BOS,JFK,2026-06-10,90,44,44,6,115.41,782.95,115.41
2026-03-12 22:55:20,2026-03-12,LAX-JFK,LAX,JFK,2026-03-13,1,60,60,18,270.21,1296.74,2571.37
2026-03-12 22:55:20,2026-03-12,LAX-JFK,LAX,JFK,2026-05-12,61,57,57,14,111.11,536.29,151.04
2026-03-12 22:55:20,2026-03-12,LAX-JFK,LAX,JFK,2026-06-01,81,56,56,14,154.11,530.21,188.51
2026-03-12 22:55:20,2026-03-12,LAX-JFK,LAX,JFK,2026-06-10,90,56,56,3,124.01,1095.99,297.44
