search_timestamp,search_date,route,origin,destination,departure_date,days_before_departure,offer_count,priced_offer_count,nonstop_offer_count,min_price_usd,avg_price_usd,avg_nonstop_price_usd
2026-03-08 22:02:05,2026-03-08,CHI-JFK,CHI,JFK,2026-03-13,5,14,14,2,136.91,438.35,322.34
2026-03-08 22:02:05,2026-03-08,CHI-JFK,CHI,JFK,2026-05-12,65,6,6,2,76.71,100.17,76.71
2026-03-08 22:02:05,2026-03-08,CHI-JFK,CHI,JFK,2026-06-01,85,6,6,2,114.33,169.68,114.33
2026-03-08 22:02:05,2026-03-08,CHI-JFK,CHI,JFK,2026-06-10,94,6,6,2,114.33,168.07,114.33
2026-03-08 22:02:05,2026-03-08,CHI-ATL,CHI,ATL,2026-03-13,5,33,33,6,155.56,426.26,260.89
2026-03-08 22:02:05,2026-03-08,CHI-ATL,CHI,ATL,2026-05-12,65,22,22,1,98.21,375.97,98.21
2026-03-08 22:02:05,2026-03-08,CHI-ATL,CHI,ATL,2026-06-01,85,23,23,0,208.78,446.31,
2026-03-08 22:02:05,2026-03-08,CHI-ATL,CHI,ATL,2026-06-10,94,28,28,2,126.16,515.68,126.16
2026-03-08 22:02:05,2026-03-08,MIA-JFK,MIA,JFK,2026-03-13,5,1,1,1,103.58,103.58,103.58
2026-03-08 22:02:05,2026-03-08,SEA-LAX,SEA,LAX,2026-03-13,5,79,79,26,155.56,481.94,284.43
2026-03-08 22:02:05,2026-03-08,SEA-LAX,SEA,LAX,2026-05-12,65,76,76,25,76.56,652.87,1124.96
2026-03-08 22:02:05,2026-03-08,SEA-LAX,SEA,LAX,2026-06-01,85,71,71,11,128.31,457.77,1278.66
2026-03-08 22:02:05,2026-03-08,SEA-LAX,SEA,LAX,2026-06-10,94,72,72,9,128.31,348.57,1067.86
2026-03-08 22:02:05,2026-03-08,BOS-JFK,BOS,JFK,2026-03-13,5,31,31,8,126.01,385.04,414.66
2026-03-08 22:02:05,2026-03-08,BOS-JFK,BOS,JFK,2026-05-12,65,34,34,6,63.81,623.36,257.85
2026-03-08 22:02:05,2026-03-08,BOS-JFK,BOS,JFK,2026-06-01,85,45,45,6,106.81,379.79,106.81
2026-03-08 22:02:05,2026-03-08,BOS-JFK,BOS,JFK,2026-06-10,94,46,46,6,106.81,562.77,106.81
2026-03-08 22:02:05,2026-03-08,LAX-JFK,LAX,JFK,2026-03-13,5,60,60,18,260.38,1278.66,2586.18
2026-03-08 22:02:05,2026-03-08,LAX-JFK,LAX,JFK,2026-05-12,65,52,52,14,111.11,430.29,150.42
2026-03-08 22:02:05,2026-03-08,LAX-JFK,LAX,JFK,2026-06-01,85,52,52,14,166.86,499.49,198.03
2026-03-08 22:02:05,2026-03-08,LAX-JFK,LAX,JFK,2026-06-10,94,49,49,14,167.01,375.21,198.03
