search_timestamp,search_date,route,origin,destination,departure_date,days_before_departure,offer_count,priced_offer_count,nonstop_offer_count,min_price_usd,avg_price_usd,avg_nonstop_price_usd
2026-03-13 23:13:54,2026-03-13,CHI-JFK,CHI,JFK,2026-05-12,60,6,6,2,85.4,113.75,85.4
2026-03-13 23:13:54,2026-03-13,CHI-JFK,CHI,JFK,2026-06-01,80,6,6,2,124.1,183.8,124.1
2026-03-13 23:13:54,2026-03-13,CHI-JFK,CHI,JFK,2026-06-10,89,6,6,2,124.1,177.89,124.1
2026-03-13 23:13:54,2026-03-13,CHI-ATL,CHI,ATL,2026-05-12,60,21,21,1,116.57,402.14,116.57
2026-03-13 23:13:54,2026-03-13,CHI-ATL,CHI,ATL,2026-06-01,80,21,21,1,144.52,461.73,144.52
2026-03-13 23:13:54,2026-03-13,CHI-ATL,CHI,ATL,2026-06-10,89,26,26,2,144.52,564.92,144.52
2026-03-13 23:13:54,2026-03-13,SEA-LAX,SEA,LAX,2026-05-12,60,83,83,24,76.71,655.24,1167.92
2026-03-13 23:13:54,2026-03-13,SEA-LAX,SEA,LAX,2026-06-01,80,71,71,11,146.67,479.72,1299.07
2026-03-13 23:13:54,2026-03-13,SEA-LAX,SEA,LAX,2026-06-10,89,72,72,9,146.67,371.8,1087.89
2026-03-13 23:13:54,2026-03-13,BOS-JFK,BOS,JFK,2026-05-12,60,41,41,6,72.5,574.18,267.61
2026-03-13 23:13:54,2026-03-13,BOS-JFK,BOS,JFK,2026-06-01,80,49,49,6,116.57,386.11,116.57
2026-03-13 23:13:54,2026-03-13,BOS-JFK,BOS,JFK,2026-06-10,89,41,41,6,116.57,622.91,116.57
2026-03-13 23:13:54,2026-03-13,LAX-JFK,LAX,JFK,2026-05-12,60,57,57,14,112.27,540.7,152.35
2026-03-13 23:13:54,2026-03-13,LAX-JFK,LAX,JFK,2026-06-01,80,56,56,14,155.27,532.61,188.29
2026-03-13 23:13:54,2026-03-13,LAX-JFK,LAX,JFK,2026-06-10,89,54,54,14,155.27,381.26,188.29
