search_timestamp,search_date,route,origin,destination,departure_date,days_before_departure,offer_count,priced_offer_count,nonstop_offer_count,min_price_usd,avg_price_usd,avg_nonstop_price_usd
2026-03-09 22:04:49,2026-03-09,CHI-JFK,CHI,JFK,2026-03-13,4,14,14,2,136.91,444.57,326.64
2026-03-09 22:04:49,2026-03-09,CHI-JFK,CHI,JFK,2026-05-12,64,6,6,2,85.31,113.07,85.31
2026-03-09 22:04:49,2026-03-09,CHI-JFK,CHI,JFK,2026-06-01,84,6,6,2,122.93,182.58,122.93
2026-03-09 22:04:49,2026-03-09,CHI-JFK,CHI,JFK,2026-06-10,93,6,6,2,122.93,176.67,122.93
2026-03-09 22:04:49,2026-03-09,CHI-ATL,CHI,ATL,2026-03-13,4,34,34,6,164.16,443.3,269.49
2026-03-09 22:04:49,2026-03-09,CHI-ATL,CHI,ATL,2026-05-12,64,18,18,1,106.81,252.43,106.81
2026-03-09 22:04:49,2026-03-09,CHI-ATL,CHI,ATL,2026-06-01,84,25,25,2,158.41,438.88,173.46
2026-03-09 22:04:49,2026-03-09,CHI-ATL,CHI,ATL,2026-06-10,93,27,27,2,121.86,536.74,128.31
2026-03-09 22:04:49,2026-03-09,MIA-JFK,MIA,JFK,2026-03-13,4,1,1,1,107.88,107.88,107.88
2026-03-09 22:04:49,2026-03-09,SEA-LAX,SEA,LAX,2026-03-13,4,79,79,26,164.16,481.98,292.7
2026-03-09 22:04:49,2026-03-09,SEA-LAX,SEA,LAX,2026-05-12,64,78,78,25,76.56,640.01,1127.2
2026-03-09 22:04:49,2026-03-09,SEA-LAX,SEA,LAX,2026-06-01,84,71,71,11,136.91,467.98,1284.62
2026-03-09 22:04:49,2026-03-09,SEA-LAX,SEA,LAX,2026-06-10,93,72,72,9,136.91,359.38,1074.31
2026-03-09 22:04:49,2026-03-09,BOS-JFK,BOS,JFK,2026-03-13,4,33,33,8,126.01,395.96,423.26
2026-03-09 22:04:49,2026-03-09,BOS-JFK,BOS,JFK,2026-05-12,64,41,41,6,72.41,569.85,266.44
2026-03-09 22:04:49,2026-03-09,BOS-JFK,BOS,JFK,2026-06-01,84,46,46,6,115.41,539.89,115.41
2026-03-09 22:04:49,2026-03-09,BOS-JFK,BOS,JFK,2026-06-10,93,47,47,6,115.41,744.53,115.41
2026-03-09 22:04:49,2026-03-09,LAX-JFK,LAX,JFK,2026-03-13,4,62,62,18,268.98,1277.57,2590.59
2026-03-09 22:04:49,2026-03-09,LAX-JFK,LAX,JFK,2026-05-12,64,55,55,14,111.11,549.14,151.04
2026-03-09 22:04:49,2026-03-09,LAX-JFK,LAX,JFK,2026-06-01,84,52,52,14,175.46,511.86,205.4
2026-03-09 22:04:49,2026-03-09,LAX-JFK,LAX,JFK,2026-06-10,93,49,49,14,175.61,529.03,205.4
