
===== RUN START 2026-03-08 22:02:05 =====
USE_OPTIONAL_PARAMS=False
REQUEST_SLEEP_SECONDS=2
[SUCCESS] 2026-03-08 22:02:05 | CHI-JFK | 2026-03-13 | offers=14
[SUCCESS] 2026-03-08 22:02:05 | CHI-JFK | 2026-05-12 | offers=6
[SUCCESS] 2026-03-08 22:02:05 | CHI-JFK | 2026-06-01 | offers=6
[SUCCESS] 2026-03-08 22:02:05 | CHI-JFK | 2026-06-10 | offers=6
[SUCCESS] 2026-03-08 22:02:05 | CHI-ATL | 2026-03-13 | offers=33
[SUCCESS] 2026-03-08 22:02:05 | CHI-ATL | 2026-05-12 | offers=22
[SUCCESS] 2026-03-08 22:02:05 | CHI-ATL | 2026-06-01 | offers=23
[SUCCESS] 2026-03-08 22:02:05 | CHI-ATL | 2026-06-10 | offers=28
[SUCCESS] 2026-03-08 22:02:05 | MIA-JFK | 2026-03-13 | offers=1
[NO_OFFERS] 2026-03-08 22:02:05 | MIA-JFK | 2026-05-12 | offers=0
[NO_OFFERS] 2026-03-08 22:02:05 | MIA-JFK | 2026-06-01 | offers=0
[NO_OFFERS] 2026-03-08 22:02:05 | MIA-JFK | 2026-06-10 | offers=0
[SUCCESS] 2026-03-08 22:02:05 | SEA-LAX | 2026-03-13 | offers=79
[SUCCESS] 2026-03-08 22:02:05 | SEA-LAX | 2026-05-12 | offers=76
[SUCCESS] 2026-03-08 22:02:05 | SEA-LAX | 2026-06-01 | offers=71
[SUCCESS] 2026-03-08 22:02:05 | SEA-LAX | 2026-06-10 | offers=72
[SUCCESS] 2026-03-08 22:02:05 | BOS-JFK | 2026-03-13 | offers=31
[SUCCESS] 2026-03-08 22:02:05 | BOS-JFK | 2026-05-12 | offers=34
[SUCCESS] 2026-03-08 22:02:05 | BOS-JFK | 2026-06-01 | offers=45
[SUCCESS] 2026-03-08 22:02:05 | BOS-JFK | 2026-06-10 | offers=46
[SUCCESS] 2026-03-08 22:02:05 | LAX-JFK | 2026-03-13 | offers=60
[SUCCESS] 2026-03-08 22:02:05 | LAX-JFK | 2026-05-12 | offers=52
[SUCCESS] 2026-03-08 22:02:05 | LAX-JFK | 2026-06-01 | offers=52
[SUCCESS] 2026-03-08 22:02:05 | LAX-JFK | 2026-06-10 | offers=49
