
===== RUN START 2026-03-14 22:05:44 =====
USE_OPTIONAL_PARAMS=False
REQUEST_SLEEP_SECONDS=2
[ERROR] 2026-03-14 22:05:44 | CHI-JFK | 2026-03-13 | RuntimeError("Amadeus API error for CHI-JFK 2026-03-13: ClientError('[400]\\n')")
[SUCCESS] 2026-03-14 22:05:44 | CHI-JFK | 2026-05-12 | offers=6
[SUCCESS] 2026-03-14 22:05:44 | CHI-JFK | 2026-06-01 | offers=6
[SUCCESS] 2026-03-14 22:05:44 | CHI-JFK | 2026-06-10 | offers=6
[ERROR] 2026-03-14 22:05:44 | CHI-ATL | 2026-03-13 | RuntimeError("Amadeus API error for CHI-ATL 2026-03-13: ClientError('[400]\\n')")
[SUCCESS] 2026-03-14 22:05:44 | CHI-ATL | 2026-05-12 | offers=22
[SUCCESS] 2026-03-14 22:05:44 | CHI-ATL | 2026-06-01 | offers=19
[SUCCESS] 2026-03-14 22:05:44 | CHI-ATL | 2026-06-10 | offers=26
[ERROR] 2026-03-14 22:05:44 | MIA-JFK | 2026-03-13 | RuntimeError("Amadeus API error for MIA-JFK 2026-03-13: ClientError('[400]\\n')")
[NO_OFFERS] 2026-03-14 22:05:44 | MIA-JFK | 2026-05-12 | offers=0
[NO_OFFERS] 2026-03-14 22:05:44 | MIA-JFK | 2026-06-01 | offers=0
[NO_OFFERS] 2026-03-14 22:05:44 | MIA-JFK | 2026-06-10 | offers=0
[ERROR] 2026-03-14 22:05:44 | SEA-LAX | 2026-03-13 | RuntimeError("Amadeus API error for SEA-LAX 2026-03-13: ClientError('[400]\\n')")
[SUCCESS] 2026-03-14 22:05:44 | SEA-LAX | 2026-05-12 | offers=82
[SUCCESS] 2026-03-14 22:05:44 | SEA-LAX | 2026-06-01 | offers=71
[SUCCESS] 2026-03-14 22:05:44 | SEA-LAX | 2026-06-10 | offers=72
[ERROR] 2026-03-14 22:05:44 | BOS-JFK | 2026-03-13 | RuntimeError("Amadeus API error for BOS-JFK 2026-03-13: ClientError('[400]\\n')")
[SUCCESS] 2026-03-14 22:05:44 | BOS-JFK | 2026-05-12 | offers=42
[SUCCESS] 2026-03-14 22:05:44 | BOS-JFK | 2026-06-01 | offers=49
[SUCCESS] 2026-03-14 22:05:44 | BOS-JFK | 2026-06-10 | offers=41
[ERROR] 2026-03-14 22:05:44 | LAX-JFK | 2026-03-13 | RuntimeError("Amadeus API error for LAX-JFK 2026-03-13: ClientError('[400]\\n')")
[SUCCESS] 2026-03-14 22:05:44 | LAX-JFK | 2026-05-12 | offers=57
[SUCCESS] 2026-03-14 22:05:44 | LAX-JFK | 2026-06-01 | offers=56
[SUCCESS] 2026-03-14 22:05:44 | LAX-JFK | 2026-06-10 | offers=45
