
===== RUN START 2026-03-10 23:25:47 =====
USE_OPTIONAL_PARAMS=False
REQUEST_SLEEP_SECONDS=2
[SUCCESS] 2026-03-10 23:25:47 | CHI-JFK | 2026-03-13 | offers=14
[SUCCESS] 2026-03-10 23:25:47 | CHI-JFK | 2026-05-12 | offers=6
[SUCCESS] 2026-03-10 23:25:47 | CHI-JFK | 2026-06-01 | offers=6
[SUCCESS] 2026-03-10 23:25:47 | CHI-JFK | 2026-06-10 | offers=6
[SUCCESS] 2026-03-10 23:25:47 | CHI-ATL | 2026-03-13 | offers=35
[SUCCESS] 2026-03-10 23:25:47 | CHI-ATL | 2026-05-12 | offers=18
[SUCCESS] 2026-03-10 23:25:47 | CHI-ATL | 2026-06-01 | offers=25
[SUCCESS] 2026-03-10 23:25:47 | CHI-ATL | 2026-06-10 | offers=24
[SUCCESS] 2026-03-10 23:25:47 | MIA-JFK | 2026-03-13 | offers=1
[NO_OFFERS] 2026-03-10 23:25:47 | MIA-JFK | 2026-05-12 | offers=0
[NO_OFFERS] 2026-03-10 23:25:47 | MIA-JFK | 2026-06-01 | offers=0
[NO_OFFERS] 2026-03-10 23:25:47 | MIA-JFK | 2026-06-10 | offers=0
[SUCCESS] 2026-03-10 23:25:47 | SEA-LAX | 2026-03-13 | offers=79
[SUCCESS] 2026-03-10 23:25:47 | SEA-LAX | 2026-05-12 | offers=78
[SUCCESS] 2026-03-10 23:25:47 | SEA-LAX | 2026-06-01 | offers=71
[SUCCESS] 2026-03-10 23:25:47 | SEA-LAX | 2026-06-10 | offers=72
[SUCCESS] 2026-03-10 23:25:47 | BOS-JFK | 2026-03-13 | offers=33
[SUCCESS] 2026-03-10 23:25:47 | BOS-JFK | 2026-05-12 | offers=42
[SUCCESS] 2026-03-10 23:25:47 | BOS-JFK | 2026-06-01 | offers=45
[SUCCESS] 2026-03-10 23:25:47 | BOS-JFK | 2026-06-10 | offers=45
[SUCCESS] 2026-03-10 23:25:47 | LAX-JFK | 2026-03-13 | offers=63
[SUCCESS] 2026-03-10 23:25:47 | LAX-JFK | 2026-05-12 | offers=54
[SUCCESS] 2026-03-10 23:25:47 | LAX-JFK | 2026-06-01 | offers=52
[SUCCESS] 2026-03-10 23:25:47 | LAX-JFK | 2026-06-10 | offers=50
