
===== RUN START 2026-03-09 22:04:49 =====
USE_OPTIONAL_PARAMS=False
REQUEST_SLEEP_SECONDS=2
[SUCCESS] 2026-03-09 22:04:49 | CHI-JFK | 2026-03-13 | offers=14
[SUCCESS] 2026-03-09 22:04:49 | CHI-JFK | 2026-05-12 | offers=6
[SUCCESS] 2026-03-09 22:04:49 | CHI-JFK | 2026-06-01 | offers=6
[SUCCESS] 2026-03-09 22:04:49 | CHI-JFK | 2026-06-10 | offers=6
[SUCCESS] 2026-03-09 22:04:49 | CHI-ATL | 2026-03-13 | offers=34
[SUCCESS] 2026-03-09 22:04:49 | CHI-ATL | 2026-05-12 | offers=18
[SUCCESS] 2026-03-09 22:04:49 | CHI-ATL | 2026-06-01 | offers=25
[SUCCESS] 2026-03-09 22:04:49 | CHI-ATL | 2026-06-10 | offers=27
[SUCCESS] 2026-03-09 22:04:49 | MIA-JFK | 2026-03-13 | offers=1
[NO_OFFERS] 2026-03-09 22:04:49 | MIA-JFK | 2026-05-12 | offers=0
[NO_OFFERS] 2026-03-09 22:04:49 | MIA-JFK | 2026-06-01 | offers=0
[NO_OFFERS] 2026-03-09 22:04:49 | MIA-JFK | 2026-06-10 | offers=0
[SUCCESS] 2026-03-09 22:04:49 | SEA-LAX | 2026-03-13 | offers=79
[SUCCESS] 2026-03-09 22:04:49 | SEA-LAX | 2026-05-12 | offers=78
[SUCCESS] 2026-03-09 22:04:49 | SEA-LAX | 2026-06-01 | offers=71
[SUCCESS] 2026-03-09 22:04:49 | SEA-LAX | 2026-06-10 | offers=72
[SUCCESS] 2026-03-09 22:04:49 | BOS-JFK | 2026-03-13 | offers=33
[SUCCESS] 2026-03-09 22:04:49 | BOS-JFK | 2026-05-12 | offers=41
[SUCCESS] 2026-03-09 22:04:49 | BOS-JFK | 2026-06-01 | offers=46
[SUCCESS] 2026-03-09 22:04:49 | BOS-JFK | 2026-06-10 | offers=47
[SUCCESS] 2026-03-09 22:04:49 | LAX-JFK | 2026-03-13 | offers=62
[SUCCESS] 2026-03-09 22:04:49 | LAX-JFK | 2026-05-12 | offers=55
[SUCCESS] 2026-03-09 22:04:49 | LAX-JFK | 2026-06-01 | offers=52
[SUCCESS] 2026-03-09 22:04:49 | LAX-JFK | 2026-06-10 | offers=49
