
===== RUN START 2026-03-11 22:43:47 =====
USE_OPTIONAL_PARAMS=False
REQUEST_SLEEP_SECONDS=2
[SUCCESS] 2026-03-11 22:43:47 | CHI-JFK | 2026-03-13 | offers=14
[SUCCESS] 2026-03-11 22:43:47 | CHI-JFK | 2026-05-12 | offers=6
[SUCCESS] 2026-03-11 22:43:47 | CHI-JFK | 2026-06-01 | offers=6
[SUCCESS] 2026-03-11 22:43:47 | CHI-JFK | 2026-06-10 | offers=6
[SUCCESS] 2026-03-11 22:43:47 | CHI-ATL | 2026-03-13 | offers=35
[SUCCESS] 2026-03-11 22:43:47 | CHI-ATL | 2026-05-12 | offers=21
[SUCCESS] 2026-03-11 22:43:47 | CHI-ATL | 2026-06-01 | offers=25
[SUCCESS] 2026-03-11 22:43:47 | CHI-ATL | 2026-06-10 | offers=27
[SUCCESS] 2026-03-11 22:43:47 | MIA-JFK | 2026-03-13 | offers=1
[NO_OFFERS] 2026-03-11 22:43:47 | MIA-JFK | 2026-05-12 | offers=0
[NO_OFFERS] 2026-03-11 22:43:47 | MIA-JFK | 2026-06-01 | offers=0
[NO_OFFERS] 2026-03-11 22:43:47 | MIA-JFK | 2026-06-10 | offers=0
[SUCCESS] 2026-03-11 22:43:47 | SEA-LAX | 2026-03-13 | offers=84
[SUCCESS] 2026-03-11 22:43:47 | SEA-LAX | 2026-05-12 | offers=76
[SUCCESS] 2026-03-11 22:43:47 | SEA-LAX | 2026-06-01 | offers=71
[SUCCESS] 2026-03-11 22:43:47 | SEA-LAX | 2026-06-10 | offers=68
[SUCCESS] 2026-03-11 22:43:47 | BOS-JFK | 2026-03-13 | offers=45
[SUCCESS] 2026-03-11 22:43:47 | BOS-JFK | 2026-05-12 | offers=44
[SUCCESS] 2026-03-11 22:43:47 | BOS-JFK | 2026-06-01 | offers=52
[SUCCESS] 2026-03-11 22:43:47 | BOS-JFK | 2026-06-10 | offers=43
[SUCCESS] 2026-03-11 22:43:47 | LAX-JFK | 2026-03-13 | offers=59
[SUCCESS] 2026-03-11 22:43:47 | LAX-JFK | 2026-05-12 | offers=56
[SUCCESS] 2026-03-11 22:43:47 | LAX-JFK | 2026-06-01 | offers=48
[SUCCESS] 2026-03-11 22:43:47 | LAX-JFK | 2026-06-10 | offers=46
