
===== RUN START 2026-03-07 22:02:22 =====
USE_OPTIONAL_PARAMS=False
REQUEST_SLEEP_SECONDS=2
[SUCCESS] 2026-03-07 22:02:22 | CHI-JFK | 2026-03-13 | offers=14
[SUCCESS] 2026-03-07 22:02:22 | CHI-JFK | 2026-05-12 | offers=6
[SUCCESS] 2026-03-07 22:02:22 | CHI-JFK | 2026-06-01 | offers=6
[SUCCESS] 2026-03-07 22:02:22 | CHI-JFK | 2026-06-10 | offers=6
[SUCCESS] 2026-03-07 22:02:22 | CHI-ATL | 2026-03-13 | offers=34
[SUCCESS] 2026-03-07 22:02:22 | CHI-ATL | 2026-05-12 | offers=22
[SUCCESS] 2026-03-07 22:02:22 | CHI-ATL | 2026-06-01 | offers=23
[SUCCESS] 2026-03-07 22:02:22 | CHI-ATL | 2026-06-10 | offers=27
[SUCCESS] 2026-03-07 22:02:22 | MIA-JFK | 2026-03-13 | offers=1
[NO_OFFERS] 2026-03-07 22:02:22 | MIA-JFK | 2026-05-12 | offers=0
[NO_OFFERS] 2026-03-07 22:02:22 | MIA-JFK | 2026-06-01 | offers=0
[NO_OFFERS] 2026-03-07 22:02:22 | MIA-JFK | 2026-06-10 | offers=0
[SUCCESS] 2026-03-07 22:02:22 | SEA-LAX | 2026-03-13 | offers=79
[SUCCESS] 2026-03-07 22:02:22 | SEA-LAX | 2026-05-12 | offers=81
[SUCCESS] 2026-03-07 22:02:22 | SEA-LAX | 2026-06-01 | offers=71
[SUCCESS] 2026-03-07 22:02:22 | SEA-LAX | 2026-06-10 | offers=72
[SUCCESS] 2026-03-07 22:02:22 | BOS-JFK | 2026-03-13 | offers=31
[SUCCESS] 2026-03-07 22:02:22 | BOS-JFK | 2026-05-12 | offers=34
[SUCCESS] 2026-03-07 22:02:22 | BOS-JFK | 2026-06-01 | offers=46
[SUCCESS] 2026-03-07 22:02:22 | BOS-JFK | 2026-06-10 | offers=48
[SUCCESS] 2026-03-07 22:02:22 | LAX-JFK | 2026-03-13 | offers=60
[SUCCESS] 2026-03-07 22:02:22 | LAX-JFK | 2026-05-12 | offers=53
[SUCCESS] 2026-03-07 22:02:22 | LAX-JFK | 2026-06-01 | offers=52
[SUCCESS] 2026-03-07 22:02:22 | LAX-JFK | 2026-06-10 | offers=50
